,YEAR,month,type,amount
814,2014,OCT,LOW,387801.6
815,2014,NOV,LOW,389049.7
816,2014,DEC,LOW,378385.6
817,2014,JAN,HIGH,374303.5
818,2014,FEB,HIGH,380711.3
819,2014,MAR,HIGH,384614.4
820,2014,APR,HIGH,395396.9
821,2014,MAY,HIGH,392079.7
822,2014,JUN,HIGH,396520.4
823,2014,JUL,HIGH,397024.5
824,2014,AUG,HIGH,391140.8
825,2014,SEP,HIGH,390270.8
826,2014,OCT,HIGH,393764
827,2014,NOV,HIGH,397045.6
828,2014,DEC,HIGH,393826.4
829,2015,JAN,MED,383889
830,2015,FEB,MED,381432
831,2015,MAR,MED,387665
832,2015,APR,MED,387235
833,2015,MAY,MED,392268
834,2015,JUN,MED,391955
835,2015,JUL,MED,395100
836,2015,AUG,MED,394944
837,2015,SEP,MED,394429
838,2015,OCT,MED,394562
839,2015,NOV,MED,395160
840,2015,DEC,MED,NA
841,2015,JAN,LOW,375259.1
842,2015,FEB,LOW,373259.8
843,2015,MAR,LOW,380541.8
844,2015,APR,LOW,385327.1
845,2015,MAY,LOW,387912.5
846,2015,JUN,LOW,382895.8
847,2015,JUL,LOW,389638.8
848,2015,AUG,LOW,393248.9
849,2015,SEP,LOW,387555.9
850,2015,OCT,LOW,392180.6
851,2015,NOV,LOW,391783.7
852,2015,DEC,LOW,NA
853,2015,JAN,HIGH,385156.5
854,2015,FEB,HIGH,384477.3
855,2015,MAR,HIGH,389923.4
856,2015,APR,HIGH,396776.9
857,2015,MAY,HIGH,398775.7
858,2015,JUN,HIGH,400249.4
859,2015,JUL,HIGH,404583.5
860,2015,AUG,HIGH,396160.8
861,2015,SEP,HIGH,396221.8
862,2015,OCT,HIGH,398143
863,2015,NOV,HIGH,399779.6
864,2015,DEC,HIGH,NA
